"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"68","FSD1",170.155656862042,-1.27510437149706,0.367766253493743,-3.46761523890895,0.00052509854104777,0.0413350546101679
"69","FUOM",447.079744118211,-1.82868108488817,0.411371559169395,-4.47029542250762,7.81116280738748e-06,0.00165723319021599
"70","GABRA5",104.511553978348,-2.67483204923557,0.494187153254719,-5.56376523678267,2.64015075806989e-08,1.65801467606789e-05
"71","GBP5",168.506583906607,-1.99715345722943,0.520111646573541,-4.93731695386589,7.92046887411506e-07,0.000276336358496903
"72","GCA",56.7373250497221,1.57628915622918,0.336036104288122,4.67601001206493,2.92510331672113e-06,0.000752854460205276
"73","GCNT4",1343.50669806343,1.43661938194815,0.321921586465234,4.45754094829856,8.29052038824845e-06,0.00173548226794001
"74","GGH",2820.19496181765,-1.41038216862501,0.330425279852994,-4.27450940290096,1.91558621441715e-05,0.00334163372959437
"75","GHR",228.826994099472,0.863384534283339,0.24618434634431,3.50663958186527,0.000453803358210622,0.0381000680422822
"76","GKAP1",25.080272085041,1.74389445832994,0.478227730665171,3.59225520390117,0.000327828562393533,0.029410905311877
"77","GLCCI1",577.564527328777,0.966641248274123,0.207453686058908,4.65912766684238,3.17552219187401e-06,0.000804124167942289
"78","GLIPR1",9114.30185801668,-1.41931650411671,0.338864551937,-4.19593920692425,2.71743134985754e-05,0.00430946183765286
"79","GLRX",3094.97565917155,0.805737437565146,0.225955886577276,3.56545219767157,0.000363229365108362,0.0318138268863424
"80","GMNC",14.0358048961657,1.72923350764415,0.49315535623942,4.16943420042841,3.0535675671117e-05,0.0046097125772744
"81","GNPTAB",4474.0382925981,0.883368350630274,0.238811580676577,3.69832879951513,0.000217023650922619,0.0215650083511716
"82","GPRC5A",641.158140718326,1.99671571215765,0.465233668152621,4.25562920594998,2.08461937787177e-05,0.0034817578970837
"83","GREB1",10.1088170889552,1.90004941557374,0.520110081442945,3.47979283239808,0.000501801645702539,0.0401953359057646
"84","GREB1L",308.982591281315,1.94592058159688,0.504965724708653,3.8132306304164,0.000137162006802422,0.0147496130602605
"85","H19",52.5567581574465,2.01127221721501,0.513582140105037,4.17608885012346,2.96564022335914e-05,0.00455019590084254
"86","HAS2",6525.9602775961,-1.2166295068923,0.277697557475729,-4.38345257240688,1.16813088877673e-05,0.00229245686922434
