hgnc_symbol,HH07,HH17,HH18,HH19,HH27
AK3P5,13,6,16,11,15
AK4,98,2098,1215,1236,428
AK4P1,4,16,18,8,10
AK4P2,0,0,0,0,0
AK4P3,2,4,0,3,0
AK4P4,0,0,0,2,0
AK4P5,0,0,0,0,0
AK4P6,0,0,0,0,0
AK5,8994,2011,4617,4909,6352
AK6,1385,1118,973,1000,1072
AK6P1,0,0,0,0,0
AK6P2,0,0,0,0,0
AK7,25,10,46,16,8
AK8,18,27,15,9,14
AK9,148,317,234,230,186
AKAIN1,0,0,0,0,0
AKAP1,1305,1047,1177,824,1050
AKAP10,2113,2050,1692,1565,1548
AKAP11,6123,5580,4735,4258,4159
AKAP12,6267,31050,8331,7823,4813
AKAP13,4644,4494,4206,3522,3651
AKAP14,0,0,0,0,0
AKAP17A,0,0,0,0,0
AKAP17BP,6,0,4,0,4
AKAP3,30,45,16,24,20
AKAP4,0,0,0,0,0
AKAP5,85,12,18,22,100
AKAP6,500,232,655,792,684
AKAP7,366,290,163,213,221
AKAP8,2597,1849,1857,1820,1949
AKAP8L,1351,1266,1313,902,1248
AKAP8P1,0,0,0,0,0
AKAP9,2829,3439,3081,2626,2862
AKIP1,3001,2808,2388,1746,2640
AKIRIN1,4606,4382,3935,2899,4381
AKIRIN1P1,0,0,2,0,0
AKIRIN1P2,0,0,0,0,0
AKIRIN2,3848,3209,2970,2078,3438
AKIRIN2P1,0,0,0,0,0
AKNA,2172,2699,1463,1453,1880
AKNAD1,11,43,10,17,0
AKR1A1,4096,4203,4751,3275,4730
AKR1B1,8560,7305,9843,6359,8943
AKR1B10,8,36,32,0,26
AKR1B10P1,0,0,0,0,0
AKR1B10P2,0,0,0,0,0
AKR1B15,0,2,0,2,0
AKR1B1P1,0,2,4,0,2
AKR1B1P2,0,0,0,0,0
AKR1B1P3,0,0,0,0,0
AKR1B1P4,0,0,0,0,0
AKR1B1P6,0,0,0,0,0
AKR1B1P7,0,0,0,0,0
AKR1B1P8,0,0,0,0,0
AKR1C1,8094,4910,3189,3579,2001
AKR1C2,1139,3082,1578,1167,455
AKR1C3,1245,5372,1481,2570,203
AKR1C4,1,6,1,1,0
AKR1C5P,0,0,0,0,0
AKR1C6P,2,4,0,3,0
AKR1C7P,10,6,1,3,5
AKR1C8P,0,0,4,0,0
AKR1D1,9,0,0,2,0
AKR1D1P1,0,0,0,0,0
AKR1E2,420,275,257,232,173
AKR7A2,4107,2843,2847,2784,2459
AKR7A2P1,3,0,1,0,3
AKR7A3,76,63,28,41,22
AKR7L,17,10,28,10,11
AKT1,12359,7923,7481,5797,8503
AKT1S1,6752,6193,6277,4593,6067
AKT2,14334,12000,8973,8946,8268
AKT3,5628,4868,4180,3390,5878
AKT3-IT1,0,0,2,2,3
AKTIP,1355,1436,1558,939,1439
ALAD,3722,3106,2825,2844,2364
ALAS1,3530,2478,3163,1931,2555
ALAS2,0,0,0,0,3
ALB,0,0,2,0,0
ALCAM,26881,11777,10127,6673,23006
ALDH16A1,1464,1002,1016,759,759
ALDH18A1,5304,6381,6981,5166,8227
ALDH1A1,84,356,1606,64,64
ALDH1A2,21,28,6,24,7
ALDH1A3,564,3331,524,372,578
