"","SYMBOL","HH07","HH17","HH18","HH19","HH27"
"4800","TREH",26,34,23,23,15
"4801","IFT46",1626,1164,1220,934,1012
"4802","MMP8",2,4,26,12,22
"4803","APOA1",2,2,1,1,4
"4804","ZNF541",2,7,0,2,0
"4805","SLC8A2",2,12,10,0,0
"4806","KPTN",602,679,479,403,462
"4807","RPS25",23228,27279,23499,24926,24352
"4808","KIF14",4014,309,260,480,826
"4809","TNNT2",0,0,13,0,1
"4810","DDX59",1383,995,684,772,758
"4811","CAMSAP2",5453,5611,4198,4029,4771
"4812","ATF6",3749,3657,3459,2465,4306
"4813","CRYGD",0,0,0,0,0
"4814","MREG",292,324,301,284,183
"4815","TNP1",0,0,0,0,0
"4816","FASTKD2",2086,1388,1361,1138,1531
"4817","NRP2",2923,1919,5411,3335,9403
"4818","CREB1",4839,3914,2602,3181,3440
"4819","KLF7",3291,3493,3473,2964,4372
"4820","TTR",0,6,0,0,0
"4821","B4GALT6",218,343,267,129,379
"4822","C1orf54",212,199,548,169,275
"4823","CA14",17,12,12,8,16
"4824","CASC1",0,14,0,10,10
"4825","LRMP",0,0,0,0,2
"4826","ATP10B",2,0,0,0,0
"4827","SPCS2",7048,6079,5534,4796,5218
"4828","USP35",1441,1645,1454,982,1017
"4829","ELOVL4",818,522,618,578,717
"4830","FILIP1",24,6,41,141,18
"4831","CASP8AP2",1909,1201,942,978,1241
"4832","HMGN3",1855,739,780,714,1355
"4833","UBE3D",213,178,150,173,243
"4834","CNR1",0,0,0,0,0
"4835","SPACA1",0,0,0,0,0
"4836","ANKRD13C",3138,2979,2142,1965,2299
"4837","SGIP1",702,1711,4345,1351,1165
"4838","PHF3",3915,4240,3176,3061,3191
"4839","ZC2HC1B",0,0,0,0,0
"4840","ADGB",0,0,2,0,0
"4841","PLAGL1",4502,4862,4785,4116,2551
"4842","FBXO30",2550,3151,2894,2180,2785
"4843","TNFAIP3",742,446,1217,296,611
"4844","AKAP7",366,290,163,213,221
"4845","RAB32",5231,6488,5337,5222,5348
"4846","MYB",41,20,25,0,18
"4847","ALDH8A1",6,2,12,2,6
"4848","SGK1",3426,10629,4978,5765,4572
"4849","RNF146",3840,4291,3953,3969,3041
"4850","ARG1",12,3,0,2,0
"4851","CCN2",32978,99609,82834,21809,29437
"4852","TCF21",14,19,129,41,106
"4853","PMFBP1",12,11,25,5,7
"4854","FBXL5",3932,3368,2687,2761,2861
"4855","MED28",2516,3358,2856,3111,2600
"4856","SLC16A7",3530,4564,2050,3118,2655
"4857","RXYLT1",760,673,837,487,611
"4858","ZNF430",555,338,373,449,345
"4859","VAMP8",26,57,39,18,14
"4860","DCLRE1B",1639,635,522,492,666
"4861","MYL12B",36023,28862,29339,22526,25031
"4862","FOXO3",4407,5212,4788,4205,4731
"4863","ARMC2",166,120,173,161,187
"4864","GHRH",0,0,0,0,0
"4865","RPN2",18836,14099,16241,15890,18113
"4866","TGIF2",354,771,526,443,381
"4867","CASQ2",0,0,0,0,0
"4868","OLFM3",0,0,0,0,0
"4869","PKD2",7886,12772,13093,6344,7575
"4870","ABCG2",40,17,48,12,24
"4871","SPP1",338,54,882,86,1870
"4872","STBD1",330,197,238,140,189
"4873","CCNI",14325,8982,6852,6313,7865
"4874","RARRES1",43,59,56,26,10
"4875","MFSD1",6610,7350,8368,5715,6212
"4876","RAB3GAP2",4162,3886,4418,3699,4003
"4877","EEF2KMT",678,491,460,393,451
"4878","PPL",36,5735,403,379,29
"4879","UBN1",4951,4536,3673,3327,3910
"4881","KLF12",2256,2039,2172,1356,3134
"4882","UCHL3",24,88,147,127,88
"4883","PCDH17",19,0,4,2,4
