"","gene","hgnc_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"31","ENSG00000104783","KCNN4",107.636818917963,-2.04175507386712,0.543004773906064,-3.87166147244352,0.000108096011902217,0.016621219756693
"32","ENSG00000104826","LHB",45.0014658365238,-2.56273536327969,0.572840084494256,-4.46724318801115,7.92340410101283e-06,0.00204894125978765
"33","ENSG00000106415","GLCCI1",576.156350160929,0.95695012439329,0.2464264847975,3.88280137058861,0.00010325991568563,0.0162281109598574
"34","ENSG00000106483","SFRP4",63.4037088436037,4.66757318575789,0.552816706143448,7.02839941173435,2.08916148943929e-12,5.45845668153251e-09
"35","ENSG00000106538","RARRES2",286.495325886432,2.43019704068479,0.418166115498256,5.7871796681705,7.15780082704322e-09,5.54119825506879e-06
"36","ENSG00000107611","CUBN",326.867691922686,-1.86412511978856,0.377693430947057,-4.93741424824832,7.91651972262852e-07,0.000330942190484763
"37","ENSG00000110723","EXPH5",147.579444538739,2.67597591712407,0.561350896923238,4.73795827927139,2.15882242241993e-06,0.000805780469168238
"38","ENSG00000112378","PERP",5089.83964508966,1.34318471021681,0.354259119071305,3.78757463629062,0.000152124995396861,0.0211981110252346
"39","ENSG00000112379","ARFGEF3",59.3759482581318,2.32258276791887,0.575256943647429,4.04578168696632,5.21488158962103e-05,0.00973227276663024
"40","ENSG00000112981","NME5",45.3284703324107,1.91882566776776,0.485130235322334,3.92397238919398,8.71007225027585e-05,0.0145646344140213
"41","ENSG00000114200","BCHE",136.632353382677,2.511444134321,0.567597527617661,4.40521603340641,1.05678506197822e-05,0.00259869663123162
"42","ENSG00000115271","GCA",56.5728551976071,1.57465447851172,0.371620578105393,4.22593565508177,2.37949983310586e-05,0.00533638110565933
"43","ENSG00000115339","GALNT3",199.232618989362,2.09269646528823,0.576886286645145,3.65746534441451,0.000254721686279535,0.0316916231346122
"44","ENSG00000115604","IL18R1",122.754610373269,2.12388857583051,0.554751232034306,3.78533645271378,0.000153500758482642,0.0212481645947297
"45","ENSG00000115648","MLPH",671.789675674881,-2.49349572903409,0.489753407286527,-5.17973205611627,2.22204836368174e-07,0.000105557397494717
"46","ENSG00000116183","PAPPA2",310.803099498479,2.63784556172447,0.487417918467027,5.36918090728597,7.90950481496885e-08,4.35064393795997e-05
"47","ENSG00000118523","CCN2",52235.8965898626,1.60070731466054,0.214107966570471,7.47510479382697,7.7142355174336e-14,3.22485901570794e-10
"48","ENSG00000118971","CCND2",91.93705900181,3.29843459090124,0.501676519149348,6.44447374746224,1.16002210604874e-10,1.73191300433077e-07
"49","ENSG00000119986","AVPI1",1696.49838885893,0.956518784417556,0.27044906859431,3.53602641967184,0.000406194068734058,0.0458933428361042
"50","ENSG00000120899","PTK2B",623.682245485829,1.76821380320687,0.2771867161606,6.37544929711134,1.8242733724775e-10,2.38318512697029e-07
"51","ENSG00000121039","RDH10",8590.99222289469,2.01274258616764,0.556300776481108,3.58139993851809,0.000341758027950644,0.0400246334767614
"52","ENSG00000121413","ZSCAN18",764.994103466284,1.05542413767429,0.273405362085009,3.85926780362529,0.000113727256497041,0.0171016339230299
"53","ENSG00000121904","CSMD2",2091.07936246832,-1.43813280521117,0.370099961192101,-3.89174639863494,9.95252448113572e-05,0.0160021282080538
"54","ENSG00000123572","NRK",195.79499607013,1.63267876960838,0.534923743560917,5.47759850224779,4.31137013703603e-08,2.57475024583792e-05
"55","ENSG00000124191","TOX2",489.010073904281,-1.97165091685267,0.55725344547086,-3.74328800037659,0.000181627849168931,0.0240367767529737
"56","ENSG00000125810","CD93",14.6700392499625,-1.4052415303458,0.559116573993714,-3.50602710756417,0.000454848893555416,0.0497761862465723
"57","ENSG00000126785","RHOJ",1094.89777066271,2.84683332709954,0.395920196120521,7.16524611678023,7.76469296608745e-13,2.62717277678402e-09
"58","ENSG00000126861","OMG",47.8563982227954,2.0769199078441,0.438348288527688,4.70104540679921,2.58832945832479e-06,0.000949144953296574
"59","ENSG00000128285","MCHR1",48.7868306173839,-1.98433185582875,0.551130860080924,-3.68405712664843,0.000229550759414889,0.0292565242273781
"60","ENSG00000129467","ADCY4",898.203888056923,3.4494559498006,0.403293814988828,8.51241532789033,1.7034714931833e-17,1.97501550716069e-13
"61","ENSG00000130600","H19",52.3169168377155,2.68397256762114,0.575837234676785,4.67730252483136,2.90673270982244e-06,0.00102977164577472
"62","ENSG00000130720","FIBCD1",314.59273593875,-2.32580076743046,0.557904682103534,-4.48545182308589,7.27595859514141e-06,0.001949770340457
"63","ENSG00000132639","SNAP25",25.6397628940402,-2.16437674460348,0.505138649730693,-4.13087315658364,3.61387956229421e-05,0.00747894164466074
"64","ENSG00000135218","CD36",532.78440707937,3.22217873905411,0.550146804341506,5.84019158493688,5.21408263441769e-09,4.35939020898395e-06
"65","ENSG00000135919","SERPINE2",224057.412141099,1.96516659700627,0.370277667950372,5.29794437397409,1.17113629784112e-07,6.11977272436876e-05
"66","ENSG00000136160","EDNRB",93.3724792789981,2.40778249625362,0.576506110548158,4.39447946565091,1.11038498548634e-05,0.00269875197286459
"67","ENSG00000136490","LIMD2",875.46505328161,-1.35329821523185,0.3028222566004,-4.46979611576513,7.8294194712354e-06,0.00204894125978765
"68","ENSG00000136999","CCN3",2024.37112565583,1.53546226757349,0.403319093985742,3.7990238423314,0.000145267118656336,0.0209666833450765
"69","ENSG00000137563","GGH",2819.50023315108,-1.43534796214894,0.348482698306245,-4.12348025455721,3.73190464886045e-05,0.00764747754612559
"70","ENSG00000137672","TRPC6",88.0594223499596,2.94885274246674,0.486848083079865,5.96961507525521,2.37813979186447e-09,2.25944899679778e-06
"71","ENSG00000137727","ARHGAP20",420.219004686979,1.99890400984922,0.527638680765382,3.75398108508055,0.000174048003151108,0.0234706539475127
"72","ENSG00000138395","CDK15",792.106280595704,-1.55773767364346,0.290816635073657,-5.3562746999016,8.49553170793119e-08,4.5531693271584e-05
"73","ENSG00000138449","SLC40A1",2772.96040714521,2.64192189887502,0.563612947558795,4.67843545054844,2.89072141169547e-06,0.00102977164577472
"74","ENSG00000138772","ANXA3",270.339292723437,1.62084945215194,0.398209758439034,4.06137811164062,4.87838863565387e-05,0.00935486965710433
"75","ENSG00000139174","PRICKLE1",230.501630625998,2.71709062282228,0.446259321810547,6.04914855450934,1.45613344081468e-09,1.63948210119594e-06
"76","ENSG00000139278","GLIPR1",9111.98377434753,-1.44790149737996,0.355615651990187,-4.07711148388426,4.55986329159577e-05,0.00899153420008818
"77","ENSG00000141449","GREB1L",307.612646552925,2.19004757360715,0.529837636445578,4.09451628062969,4.23050687687143e-05,0.00842152902289206
"78","ENSG00000143028","SYPL2",704.321939951706,2.27983978298341,0.497952659549176,4.54402438248336,5.51902697497848e-06,0.00160220419209722
"79","ENSG00000144229","THSD7B",29.256387788726,2.33128470283038,0.571793192082977,4.02124774185885,5.78906806734929e-05,0.010431301788253
"80","ENSG00000144354","CDCA7",385.471207253348,-1.69199109939112,0.435912469090119,-3.89564826879181,9.79364282918965e-05,0.0159737215804374
"81","ENSG00000144645","OSBPL10",722.746527013856,1.95162143298747,0.403130094484908,4.82813419765879,1.37818211506367e-06,0.000543523822057752
