	HH07	HH17	HH18	HH19	HH27
TRIM6	636.528933236584	168.271541342261	172.636738679907	86.5910341890615	320.547344704455
TRIM6-TRIM34	0	0	0	0	0
TRIM60	0	0	0	0	0
TRIM61	83.992174890209	119.269389193141	144.725409671778	72.3568915826405	56.0693375225615
TRIM62	261.857957010652	345.788771769262	364.914782958126	239.608067208088	349.1109694801
TRIM63	0	0	26.8775760819017	2.37235710107018	0
TRIM64	0	0	0	0	0
TRIM64B	0	0	0	2.37235710107018	0
TRIM64C	0	0	0	0	0
TRIM65	1653.49301156411	1726.17015212089	1591.97950638956	1712.84182697267	1883.08341113508
TRIM66	508.893765511266	608.366341775868	556.159074310119	501.753526876343	547.998430880884
TRIM67	0	46.2284454236982	4.13501170490795	0	93.0962585280267
TRIM68	887.682005212209	823.790897450301	821.833576350455	689.169737860887	547.998430880884
TRIM69	821.805789612045	1487.63137373461	1038.92169085812	1530.17033019027	637.920953322728
TRIM7	227.272943820566	76.739219403339	36.1813524179445	84.2186770879914	118.486147217488
TRIM71	0	0	0	0	0
TRIM72	0	0	0	4.74471420214036	0
TRIM73	6.58762156001639	11.0948269016876	19.6413055983128	17.7926782580263	8.4632962298206
TRIM74	373.84752353093	245.0107607456	218.121867433894	271.634888072536	261.304271095711
TRIM77	0	0	0	0	0
TRIM8	9520.76005961369	8182.43483999458	7631.16410140762	6792.05838036392	7037.23081509583
TRIM9	21.4097700700533	28.6616361626929	0	14.2341426064211	14.8107684021861
TRIML1	0	0	0	0	0
TRIML2	32.938107800082	3.69827563389585	10.3375292622699	2.37235710107018	4.2316481149103
TRIO	27908.4587390094	16108.7640923419	16002.4952979938	22948.9964172024	23418.9985799423
TRIOBP	11423.7592377634	13275.8849567776	11381.6197177591	10566.4785281666	6840.4591777525
TRIP10	4229.25304153052	5120.26261512881	4171.19305732589	4203.81678309636	3184.31520647
TRIP11	3553.19837893384	3509.66357656716	3565.41384255688	3775.60632635319	3417.05585279007
TRIP12	12415.1962825459	12777.5423151102	12767.8823918295	12656.5251342094	11634.9164919459
TRIP13	3413.21142078349	469.681005504773	525.146486523309	604.951060772896	1195.44059246216
TRIP4	1925.23240091479	1323.98267693472	1562.00067152898	1572.87275800953	1827.01407361252
TRIP6	11303.5351442931	8090.90251805565	8195.59319912755	9099.17566115467	12204.0731634013
TRIQK	1118.24875981278	1826.02359423608	1391.43143870152	1321.40290529609	1328.73750808184
TRIR	10808.6400745969	10508.6502137151	11177.9703912924	11105.0035901095	10487.0819407765
TRIT1	832.510674647072	854.301671429942	882.824998997847	722.38273727587	909.804344705715
TRMO	566.53545416141	509.437468569154	427.973711457973	544.455954695606	451.728436266675
TRMT1	1950.75943445985	1641.10981254129	1788.39256237269	1491.02643802261	1745.5548474005
TRMT10A	341.73286842585	330.071100325205	211.919349876532	313.151137341264	382.964154399382
TRMT10B	542.65532600635	568.609878711487	478.627604843095	730.685987129615	563.867111311798
TRMT10C	922.267018402295	870.019342874	812.529800014412	900.309519856133	1140.42916696833
TRMT11	690.053358411717	881.114169775687	802.192270752142	874.213591744361	812.476438062778
TRMT112	7790.68594741439	7145.06852468679	8406.47879607786	6713.77059602861	7103.87927290567
TRMT12	327.734172610816	428.075404623445	395.927370744936	340.433244003571	464.423380611406
TRMT13	792.161492591971	932.890028650229	752.572130293247	789.99491465637	719.380179534752
TRMT1L	1300.23180540824	1034.59260858237	1069.93427864493	1174.31676502974	838.924238780968
TRMT2A	1854.41546914461	1985.97401540207	2292.86399037146	2161.21731907493	1395.38596589167
TRMT2B	1184.12497541295	895.907272311271	904.533810448614	750.851022488712	865.372039499157
TRMT44	384.552408565957	497.418072758992	480.695110695549	406.859242833536	410.469867146299
TRMT5	942.853335777346	863.547360514682	931.411386530515	1087.72573084068	882.298631958798
TRMT6	1150.36341491786	818.243483999458	881.79124607162	900.309519856133	962.699946142094
TRMT61A	1622.20180915404	1375.75853580926	1543.39311885689	1160.08262242332	1488.4822244197
TRMT61B	578.063791891439	594.497808148759	587.171662096929	481.588491517246	491.929093358323
TRMT9B	2173.91511480541	821.017190724879	1081.30556083343	902.681876957203	452.786348295402
TRMU	2324.60695799078	1430.30810140922	1609.55330613542	1421.04190354104	1723.33869479722
TRNAU1AP	1692.19528822921	940.286579918021	1013.07786770245	1374.78094007017	1118.21301436505
TRNP1	31795.9789121141	5136.90485548134	4140.18046953908	6983.03312700007	2647.95380790512
TRNT1	1035.08003761758	1005.93097241967	1426.57903819324	1258.53544211773	1431.35497486841
TRO	630.76476437157	820.092621816406	742.234601030977	924.033090866835	1721.22287073977
TROAP	1902.17572545473	190.461195145636	177.805503311042	247.911317061834	562.80919928307
TRPA1	9.88143234002459	37.9073252474325	34.1138465654906	42.7024278192632	21.1582405745515
TRPC1	1091.07482087772	945.833993368865	965.525233096006	957.246090281817	829.403030522419
TRPC2	0	0	0	0	0
TRPC3	13.9986958150348	38.8318941559065	0	33.2129994149825	10.5791202872758
TRPC4	1422.10280426854	1070.65079601285	752.572130293247	826.766449722958	1870.38846679035
TRPC4AP	6114.13626039022	6600.49743759562	7664.24419504688	6704.28116762433	7084.83685638857
TRPC5	4.9407161700123	0	0	37.9577136171229	0
TRPC5OS	1.6469053900041	0	0	0	0
TRPC6	12.3517904250307	120.193958101615	279.113290081286	21.3512139096316	8.4632962298206
TRPC7	0	0	0	0	0
TRPC7-AS2	0	0	0	0	0
TRPM1	0	3.69827563389585	0	0	1.05791202872758
TRPM2	0	0	2.06750585245397	0	0
TRPM3	0	11.0948269016876	49.6201404588954	35.5853565160527	20.1003285458239
TRPM4	2840.08834506207	2858.76706500149	3504.42241990949	3189.63412238886	2486.0932675098
TRPM5	0	0	1.03375292622699	0	0
TRPM6	0	5.54741345084378	0	0	4.2316481149103
TRPM7	4570.16245726137	6106.77764047053	5071.5918560696	6290.30485348758	5229.25915800041
TRPM8	0	0	4.13501170490795	14.2341426064211	0
TRPS1	2262.84800586563	2956.77136929973	2422.08310614983	3620.21693623309	2719.8918258586
TRPT1	596.179751181484	720.239179701217	897.297539965025	752.037201039247	619.936448834359
TRPV1	159.749822830398	165.497834616839	150.92792722914	205.208889242571	92.0383464992991
TRPV2	1725.13339602929	230.217658210017	1242.57101732484	1147.03465836743	1263.14696230073
TRPV3	109.519208435273	140.534474088042	111.645316032515	143.527604614746	48.6639533214685
TRPV4	277.503558215691	416.056008813284	361.813524179445	328.57145849822	136.470651705857
TRPV5	0	0	0	0	0
TRPV6	0	11.0948269016876	2.06750585245397	2.37235710107018	2.11582405745515
TRRAP	5571.48093438387	5773.9328334199	5052.98430339751	5342.54819161004	4986.99730342179
TRUB1	1746.54316609935	1437.70465267701	1449.32160257024	1442.39311745067	1750.84440754414
TRUB2	2178.85583097542	1834.34471441234	1966.19806568373	2041.41328547089	2220.55734829918
TRY2P	0	0	0	0	0
TSACC	9.05797964502254	25.887929437271	28.9450819343556	11.8617855053509	22.2161526032791
TSBP1	6.58762156001639	0	4.13501170490795	0	0
TSBP1-AS1	29.6442970200738	12.9439647186355	2.06750585245397	9.48942840428072	12.6949443447309
TSC1	3401.68308305346	4331.60533620052	3820.75081533494	4557.29799115581	3343.00201077914
TSC2	4193.02112295043	4955.68934942044	5125.3470082334	4384.11592277769	4315.22316517978
TSC22D1	3577.9019597839	7554.65255114076	7873.06228614473	5799.22693356605	4965.83906284724
TSC22D1-AS1	89.7563437552234	194.159470779532	188.143032573312	148.272318816886	81.4592262120233
TSC22D2	4517.46148478124	3901.68079376013	3539.5700194012	5228.67505075867	3928.02736266549
TSC22D3	1660.90408581913	2232.83391396462	3037.16609725489	1984.47671504521	1920.11033214055
TSC22D4	3661.07068197911	3287.76703853341	3752.52312220396	2716.34888072536	3227.68959964783
TSEN15	3157.11763263786	3188.8381653267	2435.52189419078	3505.15761683119	3919.56406643567
TSEN2	430.665759486072	560.288758535222	415.568676343249	591.90309671701	470.770852783771
TSEN34	2054.51447403011	2306.79942664254	2471.70324660873	2046.15799967303	2277.68459785047
TSEN54	556.654021821385	502.965486209836	659.534366932818	456.67874195601	437.975579893216
TSFM	794.631850676977	784.034434385921	721.559542506437	721.196558725335	718.322267506024
TSG101	3164.52870689288	3469.90711350278	3487.88237308985	3827.79818257673	3848.68396051092
TSGA10	36.2319185800902	49.0021521491201	60.9914226473922	51.0056776730089	23.2740646320067
TSGA10IP	19.7628646800492	0	0	4.74471420214036	0
TSGA13	3.2938107800082	0	0	0	0
TSHB	0	0	0	0	0
TSHR	1.6469053900041	0	8.2700234098159	16.6064997074913	10.5791202872758
TSHZ1	2600.46361081647	1510.74559644646	1134.026960071	1729.44832668016	1523.39332136771
TSHZ2	1763.01221999939	4245.62042771244	293.585831048464	4148.06639122121	23.2740646320067
TSHZ3	2119.56723693527	1213.03440791784	1784.25755066778	1343.94029775626	1994.16417415148
TSIX	0	0	0	0	0
TSKS	51.054067090127	0	0	0	0
TSKU	2031.45779857006	2254.09899885952	2296.99900207637	1711.65564842213	2305.19031059739
TSLP	4.9407161700123	27.7370672542189	35.1475994917176	9.48942840428072	10.5791202872758
TSN	5759.22814884433	4394.47602197675	4433.76630058755	4948.73691283239	5285.32849552297
TSNARE1	300.560233675748	581.553843430123	411.433664638341	466.16817036029	437.975579893216
TSNAX	1960.64086679988	1529.23697461594	1734.63741020888	1700.98004146732	1684.1959497343
TSNAX-DISC1	0	0	2.06750585245397	0	0
TSNAXIP1	24.7035808500615	104.476286657558	102.341539696472	54.5642133246141	31.7373608618273
TSPAN1	11.5283377300287	14.7931025355834	57.8901638687113	23.7235710107018	19.0424165170964
TSPAN10	906.621417197256	226.519382576121	1240.50351147238	952.501376079677	729.959299822027
