Geneid	HH07	HH17	HH18	HH19	HH27
ENSG00000203469.2	0	0	0	0	0
ENSG00000142655.12	2232	1515	1405	998	1360
ENSG00000243267.3	0	2	0	4	0
ENSG00000130940.14	81	10	20	4	25
ENSG00000272078.1	2	4	6	2	0
ENSG00000225158.2	0	0	0	0	0
ENSG00000175262.14	0	0	0	0	0
ENSG00000215785.2	0	6	0	0	0
ENSG00000120948.17	8301	5064	4869	4860	5201
ENSG00000277726.4	0	0	0	0	0
ENSG00000009724.16	112	93	59	48	70
ENSG00000271895.2	29	41	21	32	24
ENSG00000116649.9	7201	4755	4631	3242	6913
ENSG00000171824.13	3990	2062	2137	1934	2348
ENSG00000226849.1	5	3	1	5	9
ENSG00000230337.1	22	6	12	2	10
ENSG00000198793.12	5618	4509	4118	3539	3810
ENSG00000225602.5	4	0	0	4	0
ENSG00000253086.1	0	1	0	0	0
ENSG00000171819.4	4	1	2	0	1
ENSG00000207451.1	0	1	0	0	0
ENSG00000238173.1	2	0	0	0	0
ENSG00000120942.13	822	667	675	538	710
ENSG00000238199.1	4	0	6	2	5
ENSG00000284646.1	0	0	0	0	0
ENSG00000224338.2	0	0	0	0	0
ENSG00000204624.7	0	0	4	2	0
ENSG00000285833.1	0	0	0	0	0
ENSG00000235643.1	0	0	0	0	0
ENSG00000284708.1	0	0	0	0	0
ENSG00000116661.10	8	72	113	31	21
ENSG00000132879.13	299	1411	1288	877	678
ENSG00000116663.10	192	767	615	558	313
ENSG00000116670.14	3383	1517	1568	1480	1598
ENSG00000162490.6	4	18	20	4	0
ENSG00000177674.15	1570	2322	2091	1879	1288
ENSG00000215910.7	2	2	0	0	0
ENSG00000177553.6	0	0	0	0	0
ENSG00000177000.12	1531	2559	2023	1733	1156
ENSG00000011021.22	2329	2300	1981	1832	2242
ENSG00000276470.1	0	0	0	0	0
ENSG00000278852.1	0	0	0	0	0
ENSG00000175206.10	8	7	9	13	17
ENSG00000275915.1	0	0	0	0	0
ENSG00000120937.8	0	0	0	0	0
ENSG00000224904.1	0	0	0	0	0
ENSG00000285646.1	2	6	4	4	2
ENSG00000199347.1	0	0	0	0	0
ENSG00000201801.1	0	0	0	0	0
ENSG00000116685.15	4880	3732	3492	2718	3478
ENSG00000083444.16	19019	17240	19921	18927	25061
ENSG00000116688.16	9852	7554	8079	5484	6529
ENSG00000270914.1	0	0	2	0	0
ENSG00000116691.10	1626	962	880	730	865
ENSG00000202461.1	7	8	6	0	12
ENSG00000276869.1	0	0	0	0	0
ENSG00000243539.3	0	0	0	0	0
ENSG00000120949.14	14	0	2	8	2
ENSG00000201135.1	0	0	0	0	0
ENSG00000227875.2	0	0	0	0	0
ENSG00000285604.1	0	0	0	0	0
ENSG00000283789.1	0	0	0	0	0
ENSG00000028137.18	1452	249	259	557	611
ENSG00000263676.1	0	0	0	0	0
ENSG00000225196.2	0	0	0	0	0
ENSG00000252969.1	0	0	0	0	0
ENSG00000048707.15	4277	5249	4259	3682	3014
ENSG00000239149.1	3	4	5	2	3
ENSG00000229484.1	0	0	0	0	2
ENSG00000162496.8	475	8893	2696	2261	944
ENSG00000221340.1	0	11	7	3	1
ENSG00000276830.1	1	8	1	3	1
ENSG00000272482.1	2	86	39	56	18
ENSG00000204518.2	0	27	2	5	0
ENSG00000226166.2	0	0	0	0	0
ENSG00000188984.11	0	0	0	0	0
ENSG00000157330.9	0	32	2	2	2
ENSG00000116726.4	0	2	2	0	2
ENSG00000116721.9	0	0	0	0	0
ENSG00000228338.1	0	0	0	0	0
ENSG00000239810.3	0	0	0	0	0
ENSG00000231103.2	0	0	0	0	0
ENSG00000179172.9	30	32	22	27	22
ENSG00000120952.4	0	0	0	0	0
ENSG00000243073.3	0	0	0	0	0
ENSG00000187545.5	0	0	0	0	0
ENSG00000204510.5	0	0	0	0	0
ENSG00000207434.1	0	0	0	0	0
ENSG00000234064.1	0	0	0	0	0
ENSG00000232423.6	0	0	0	0	0
ENSG00000274178.2	0	0	0	0	0
ENSG00000274764.5	0	0	0	0	0
ENSG00000277058.2	0	0	0	0	0
ENSG00000229571.7	0	0	0	0	0
ENSG00000277862.1	0	0	0	0	0
ENSG00000236179.1	0	0	0	0	0
ENSG00000275774.2	14	12	12	6	15
ENSG00000229978.1	0	0	0	0	0
ENSG00000233336.1	0	0	0	0	0
ENSG00000280267.4	0	0	0	0	0
ENSG00000179412.10	0	2	6	1	4
ENSG00000204505.4	0	0	0	0	0
ENSG00000279169.2	0	0	0	0	0
